id,term,source_tables,contexts,gold_category
1,Gross value added - NACE Rev. 2: G-I - current prices,teina420_r2,TITLE,M
2,V44140,sbs_cre_pcpay; sbs_cre_pcrec,indic_sb,A
3,Lagos,prc_colc_ext,Geopolitical entity (reporting),A
4,RIJEKA/KRK airport,avia_ec_emp_arp,Reporting airport,A
5,"Wheat and spelt by area, production and humidity",tag00047,TITLE,M
6,High speed trains,rail_pa_speed; rail_tf_hauseat; rail_tf_passmov,Vehicles,A
7,Olives for table use,enps_apro_cpnh1; tag00122,Crops,A
8,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,edat_lfso_00t2,Education indicator,A
9,ALEXANDROUPOLIS - ALEXANDROUPOLIS PORT,rail_tf_ns10_el,Rail network segment (2010),A
10,Import dependency on third countries by fuel type,nrg_ind_id3cf,TITLE,M
11,Live goats,enpe_apro_mt_ls; enps_apro_mt_ls; med_ag33,Live animals,A
12,"House sales - value and index (2015=100), annual data",prc_hpi_hsva,TITLE,M
13,During paid hours,trng_nfe7,Taught activities during paid working hours,A
14,Filiasi - T̢rgu Jiu,rail_tf_ns20_ro,Rail network segment (2020),A
15,Once (one time),gbv_any_frq; gbv_ipv_frq; gbv_npv_frq; gbv_shw_frq,Frequency,U
16,"Women who have experienced violence by any perpetrator, by level of disability (activity limitation)",gbv_any_lim,TITLE,M
17,Value Added in Foreign Controlled Enterprises,egi_va1,TITLE,M
18,Number of plants,med_en46,Plant capacity,A
19,Persons involved in trafficking in human beings by legal status and sex,crim_thb_sex$dv_1641,TITLE,M
20,FRVES_MNT,iww_ec_invest,expend,A
21,New Delhi,prc_colc_ext,Geopolitical entity (reporting),A
22,Young people neither in employment nor in education and training by sex (NEET),sdg_08_20,TITLE,M
23,Kokemaki - Lielahti,rail_tf_ns_fi,Rail network segment (2005),A
24,Fish (%),med_en53,Indicator used in Euro_Med,A
