id,term,source_tables,contexts,gold_category
1,Awareness - Yes/No,gbv_awr_leg; gbv_awr_serv,DIMENSION_NAME,N
2,Power asymmetry,iss_21gvcba; iss_21gvcsa,DIMENSION_NAME,N
3,Animal output - basic and producer prices,tag00055,TITLE,M
4,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L",earn_ses_actrl,TITLE,M
5,Percentage change - 12-months average,teicp000,Unit of measure,U
6,Occupied conventional dwellings by tenure status and amenities,cens_91dame,TITLE,M
7,Percentage of total population,hlth_silc_11$dv_1148; sdg_03_30; sdg_05_40; sdg_08_20; sdg_08_30; sdg_13_60; tepsr_wc130; tesem010; tesem050; tesem060; tessi294; tessi295; tgs00103; tgs00107; tin00186; tipslm100; tipslm60; tipslm90; tps00203,Unit of measure,U
8,Central government bond yields - annual data,irt_h_cgby_a,TITLE,M
9,Tonnes live weight,enpe_fish_ca_main; enps_fish_aq2a; enps_fish_ca_main; org_aqtspec,Unit of measure,U
10,Bel_Mag - Magyarboly,rail_tf_ns10_hu; rail_tf_ns15_hu; rail_tf_ns20_hu; rail_tf_ns_hu,Rail network Segment (2015); Rail network segment (2005); Rail network segment (2010); Rail network segment (2020),A
11,Seat capacity of passenger railway vehicles by type of vehicles,rail_eq_pa_cty,TITLE,M
12,Persons employed in goods road transport enterprises by employment size classes,road_ec_empl,TITLE,M
13,Smoking behaviour,hlth_ehis_sk3e$dv_1127; hlth_ehis_sk3e$dv_298; hlth_ehis_sk3i$dv_1141; hlth_ehis_sk3i$dv_304,DIMENSION_NAME,N
14,"Consolidated banking leverage, domestic and foreign entities (asset-to-equity multiple)",tipsbd20,TITLE,M
15,Yes,hlth_db_emasne; hlth_db_emaspr; lfso_12earlyret; trng_any3; trng_any4; trng_any5; trng_fed3; trng_inf3; trng_nfe4,Modalities of the variable for the ad-hoc module; Survey answer - Yes/No,A
16,International trade as a share of GDP,med_ec4,TITLE,M
17,Gren-Å - Hornslet,rail_tf_ns10_dk,Rail network segment (2010),A
18,National accounts indicator (ESA 2010),enpe_gov_10dd; enpe_nama_10_gdp_ea; enps_gov_10dd; enps_nama_10_gdp_ea; env_ac_egss3; gov_10a_emp; gov_eu_debt; gov_eu_fa; gov_eu_nfa; sdg_08_10; sdg_09_70; sdg_10_10; sdg_12_61; sdg_17_40; tec00001; tec00009; tec00010; tec00011; tec00013; tec00021; tec00023; tec00104; tec00110; tec00112; tec00113; tec00114; tec00115; tec00116; tec00120; tec00127; tec00131; teina010; teina011; teina020; teina021; teina030; teina031; teina040; teina041; teina050; teina080; teina090; teina100; teina110; teina200; teina205; teina210; teina225; teina230; teina400_r2; teina402_r2; teina404_r2; teina406_r2; teina408_r2; teina410_r2; teina412_r2; teina414_r2; teina416_r2; teina418_r2; teina420_r2; teina422_r2; teina424_r2; teina426_r2; teina428_r2; teina430_r2; teina432_r2; teina434_r2; teina436_r2; teina438_r2; teina440_r2; teina442_r2; teina444_r2; teina446_r2; teina500; teina520; tepsr_sp110; tepsr_wc310; tesem040; tesem160; tesem170; tet00003; tet00004; tipsex13; tipsfs10; tipsfs20; tipsfs30; tipsgo10; tipslm10; tipslm13; tipslm20; tipsna20; tipsna30; tipsna40; tipsna51; tipsna60; tipsna62; tipsna70; tipspc10; tipspc13; tipspc14; tipspc15; tipspc16; tipspc20; tipspc23; tipspc24; tipspc25; tipspc26; tipspd10; tipspd13; tipspd14; tipspd15; tipspd16; tipspd20; tipspd22; tipspd23; tipspd24; tipspd25; tipspd26; tipspd30,DIMENSION_NAME,N
19,Forestry indicators,for_area; for_profnc; for_protect; for_vol,DIMENSION_NAME,N
20,Occurence,gbv_any_occ; gbv_dv_occ; gbv_ipv_occ; gbv_npv_occ; gbv_shw_occ; gbv_st_occ,DIMENSION_NAME,N
21,Exports of goods - other manufactured products,teiet060,TITLE,M
22,Before 1900,cens_91dper,Year of construction,A
23,PER,cens_91hpnper,unit,U
24,Most of the time,ilc_pw08$dv_426,Frequency,U
25,Antwerpen,mar_mg_aa_pwhd; mar_mg_am_pvh; mar_qg_qm_pvh; mar_qg_qm_pwh; mar_qg_qm_pwhc; mar_qg_qm_pwhl; mar_sg_am_pwb; mar_sg_am_pwc; mar_sg_am_pwl; met_d3dens; met_ipr_da; met_ipr_dapop; met_ipr_dfa; met_ipr_dfapop; met_ipr_dr,Maritime entity (reporting); Metropolitan regions,A
26,Kaunas,met_d3dens; met_ipr_da; met_ipr_dapop; met_ipr_dfa; met_ipr_dfapop; met_ipr_dr,Metropolitan regions,A
27,Employment indicator,lfsi_jhh_a; sdg_08_30; sdg_08_40; tepsr_wc130; tesem010; tesem050; tesem060; tesem130; tipslm100; tipslm15; tps00172; tps00181,DIMENSION_NAME,N
28,n_child,cens_91hnnch; ilc_lvph05; lfst_hheredch$dv_2683,DIMENSION_NAME,N
29,Communication,med_ps33,TITLE,M
30,Percentage of world total - 1-year change,tipsex11,Unit of measure,U
31,Month,tag00014; tag00016; tag00017; tag00018,DIMENSION_NAME,N
32,Export unit value index (2015=100),tet00028,External trade indicator,A
33,Nationality of registration of vessel,mar_pa_qm_me; mar_pa_qm_mt,DIMENSION_NAME,N
34,Tre¿njevka (S) - Zagreb Klara,rail_tf_ns15_hr,Rail network Segment (2015),A
35,Legal type of the holding,tag00001; tag00020,DIMENSION_NAME,N
36,Kars - Do?Ukapy,rail_tf_ns10_tr; rail_tf_ns_tr,Rail network segment (2005); Rail network segment (2010),A
37,Snogh?J - Odense,rail_tf_ns10_dk; rail_tf_ns_dk,Rail network segment (2005); Rail network segment (2010),A
38,Terajoule,nrg_dhdc_e,Unit of measure,U
39,Production in industry - total (excluding construction),teiis080,TITLE,M
40,Paloukia Salaminas,mar_mp_aa_pphd,Maritime entity (reporting),A
41,"Index, 2021=100",sts_tot_prod_a,Unit of measure,U
42,Kind of business partners,egi_so1,DIMENSION_NAME,N
43,Municipal waste per inhabitant,enps_env_wasgenp,TITLE,M
44,Client/Trader,bs_bs5_00; bs_bs6_00,DIMENSION_NAME,N
45,Šeštokai - Mockava,rail_tf_ns20_lt,Rail network segment (2020),A
